Frequency (GHz),xn1_sq,xn2_sq,xn1_xn2_conj
1.0,4.018471581192296e-21,-5.5714362269020694e-18,(-2.5558501754561682e-20-2.730379629482362e-20j)
1.001,4.017879310753834e-21,-5.5700717865935176e-18,(-3.0840375152891976e-20+1.8395492107113105e-20j)
1.002,4.017258527129233e-21,-5.5688145158150124e-18,(1.0746889952919264e-20+1.9862693927544396e-20j)
1.003,4.016651331588719e-21,-5.5704648630453535e-18,(2.5556554731400744e-20-1.0688240327495417e-20j)
1.004,4.016094995838438e-21,-5.566988938438762e-18,(-2.7269073121980655e-21-3.507827657790531e-20j)
1.005,4.015466316763078e-21,-5.5729926575628226e-18,(-1.509243441846705e-20-1.533782980935038e-20j)
1.006,4.014794156582725e-21,-5.566461755242669e-18,(-3.236932464428568e-20-1.478814464029929e-20j)
1.007,4.0140750031223024e-21,-5.5626270920301e-18,(-2.6770145585351386e-20-1.8040122302216343e-20j)
1.008,4.0135841654038855e-21,-5.565459193876958e-18,(-1.9683879042586098e-20-2.0301927378842778e-20j)
1.009,4.01283831588034e-21,-5.5666003625882055e-18,(-3.00138717118449e-20-2.1891383401537637e-20j)
1.01,4.012201380711569e-21,-5.561265913529394e-18,(-2.6890308559741252e-20-2.096130656603548e-20j)
1.011,4.01163749192981e-21,-5.5669872475307115e-18,(1.6346951199003523e-21-4.231148848540184e-20j)
1.012,4.011036439002622e-21,-5.569460399622666e-18,(1.0186422254215252e-20-1.205760561119554e-20j)
1.013,4.010463800847883e-21,-5.56594497170737e-18,(7.91531208355734e-22+1.8494320428251722e-20j)
1.014,4.009763951247091e-21,-5.5622169661435326e-18,(-2.9773217752208947e-20+7.665361166420006e-21j)
1.015,4.0089945774164405e-21,-5.5703631223282534e-18,(-3.4139388267340906e-20-1.0850003361781474e-20j)
1.016,4.0083998395435686e-21,-5.5680242145758275e-18,(-2.4743531664764633e-20+1.2670318001882938e-20j)
1.017,4.007795654466382e-21,-5.568408197690966e-18,(1.1028875639859596e-20+9.556830484223034e-21j)
1.018,4.007042390693978e-21,-5.5671756975343625e-18,(3.028737297087292e-20-1.2931662604725955e-20j)
1.019,4.006439765863681e-21,-5.5709464768320124e-18,(6.610584269497888e-22-3.1806525784647954e-20j)
1.02,4.005987815841944e-21,-5.56999135903896e-18,(-2.6881484536548233e-20-2.815779771095691e-20j)
1.021,4.0052428978762874e-21,-5.565229195196653e-18,(4.527809562949814e-21-4.178239679313206e-20j)
1.022,4.004566214702898e-21,-5.5642030200210464e-18,(1.25491213546339e-20-1.8835635088483558e-20j)
1.023,4.003967644998835e-21,-5.562535597723181e-18,(5.50186806462611e-21+1.7613368893181115e-20j)
1.024,4.003203285198612e-21,-5.569399719060696e-18,(-1.5814943995663347e-20+2.875212716945547e-21j)
1.025,4.00252633731278e-21,-5.573722620700384e-18,(-1.970121661336038e-20-1.984522177778867e-20j)
1.026,4.001566693704998e-21,-5.5669023152706595e-18,(-4.0114440141555733e-20-8.910297847393214e-21j)
1.027,4.001168687953409e-21,-5.563648142421048e-18,(-1.8626738034535044e-20-3.122083607506872e-20j)
1.028,4.0004466180878616e-21,-5.560966022435243e-18,(-2.896908491606399e-20-2.1996836654950215e-20j)
1.029,3.9998172093147135e-21,-5.5654259554267366e-18,(-2.36157343654085e-20-2.50526422089982e-20j)
1.03,3.999297421974271e-21,-5.562371492315509e-18,(-2.926851395724764e-20-2.6135909713788944e-20j)
1.031,3.9984852795728956e-21,-5.568251970156016e-18,(-2.389692992996339e-20-2.907469083376675e-20j)
1.032,3.99776295214308e-21,-5.567756462586292e-18,(-2.4649696168252615e-20-2.9360465986260694e-20j)
1.033,3.997017953790955e-21,-5.570234644918288e-18,(-3.342986647008367e-20-3.4412609322580544e-20j)
1.034,3.9964380310630505e-21,-5.5630572836138745e-18,(-2.2318825796401328e-20-2.0647924221696396e-20j)
1.035,3.996299906902433e-21,-5.565875632810001e-18,(-2.5529054323965965e-20-1.4459885177361034e-20j)
1.036,3.9951889348899365e-21,-5.57176588313434e-18,(-3.0838636603526263e-20-1.9307589686255275e-20j)
1.037,3.9945760869823035e-21,-5.5651785968466845e-18,(-2.4127703496374693e-20-3.0276306473475674e-20j)
1.038,3.994088422542986e-21,-5.5624917077322295e-18,(-1.7515764655606654e-20-3.275796492516221e-20j)
1.039,3.993153116931538e-21,-5.564086187206059e-18,(-1.3112426096702908e-20-2.669053038392073e-20j)
1.04,3.992422076213092e-21,-5.561983002460724e-18,(-1.109583147064892e-20-7.645039855138837e-21j)
