Freq,S11_r,S11_i,S21_r,S21_i,S22_r,S22_i
1.0,-0.07795115698679222,-0.05629179359806838,0.8787284119429383,-0.17481401900780708,-0.005589261878645828,0.09804412046212801
1.0005,-0.07819276804947559,-0.0559748588523471,0.8809169789628534,-0.15062127307685075,-0.011618149065810865,0.09682501192100396
1.001,-0.07842091726603946,-0.05566953770579006,0.8820619155070095,-0.14395670636297137,-0.013824667924842639,0.09632018025664753
1.0015,-0.07868377073680705,-0.05537283565176455,0.8831792950669137,-0.13728572087889068,-0.016137600830801492,0.09585143677641293
1.002,-0.07888874577950637,-0.055049286570801624,0.8841280501132537,-0.1305853339053152,-0.01844513443211568,0.09531688308211606
1.0025,-0.07914078473370843,-0.05472708043938562,0.8851109843988196,-0.12389187287244192,-0.020685870385553178,0.0947239119366745
1.003,-0.0793784792214558,-0.054429430385157684,0.8860233779048793,-0.11716243055718044,-0.023053868423425848,0.09417474681950194
1.0035,-0.07961915074206016,-0.05412765153308509,0.8868863036237513,-0.11044204370621859,-0.025363864523491427,0.09352116177815616
1.004,-0.07985184087598551,-0.053812991778226446,0.8875709336790482,-0.10372415003674376,-0.027607725102241562,0.0928494159214762
1.0045,-0.08007889528309556,-0.053500406830864496,0.8883461996467992,-0.09699214428536708,-0.029804287433075206,0.09215828686108403
1.005,-0.08030429539300679,-0.05318872715458714,0.8890839720065045,-0.09025173587309607,-0.03202863952570929,0.09142325421393915
1.0055,-0.08051746215464023,-0.052871425106024904,0.8896581143656164,-0.0835000424860792,-0.034325690744030815,0.09071443623959331
1.006,-0.08073751048680022,-0.052555035197250605,0.8902509125788315,-0.07672856454868378,-0.03657793821604132,0.08993617786542675
1.0065,-0.08098975074001939,-0.05224346652967142,0.8908227762645619,-0.06999025521777216,-0.038951982403488336,0.08920714204137546
1.007,-0.0812055479347139,-0.051930576342310075,0.8912488372866908,-0.06322841137492595,-0.040995356847130925,0.08835178114858958
1.0075,-0.08140442951751137,-0.051610455571422575,0.8917238778788319,-0.05645467797383197,-0.04337260102835225,0.08753905541839138
1.008,-0.08163973684624182,-0.05130683929190256,0.8922002835641766,-0.049680115527004506,-0.04558720976253006,0.08671683058657972
1.0085,-0.081869117404484,-0.050999789566181106,0.8924779217415284,-0.04289985027614532,-0.04776771447890367,0.08582137809415996
1.009,-0.08207866178894295,-0.05067922903240892,0.8926706261760108,-0.03612721714046111,-0.04997437282203091,0.0849179325826961
1.0095,-0.0822675829016864,-0.05034977715685861,0.8928277632719247,-0.029315876096653634,-0.05210717644592079,0.08393469821163947
1.01,-0.08249282331751095,-0.05003852501164959,0.8930218819043259,-0.022550143542314414,-0.054288497640360193,0.0829813413428305
1.0105,-0.08270366163357518,-0.04973013458779994,0.8931927997859459,-0.015761915482389918,-0.0564685637659252,0.08205179269075397
1.011,-0.08288952484503859,-0.049398002094531844,0.8932306591915418,-0.008972999928263099,-0.058678195341766465,0.08099927966521105
1.0115,-0.08308358598464119,-0.049071352601445385,0.8932786468867947,-0.002175517626448003,-0.06083645369487039,0.07998124930746447
1.012,-0.08328744381764482,-0.04875332911857034,0.8931961536192434,0.004613220622485727,-0.06293844086203622,0.07893441329806472
1.0125,-0.0834653754774144,-0.04842200198801531,0.8930490129512865,0.01140163558097085,-0.06497541966214192,0.0778713503547207
1.013,-0.08367748874655023,-0.04810672095365235,0.8929377283858467,0.018194869276698312,-0.06704777148932722,0.07677752305029317
1.0135,-0.08386070516852925,-0.04777184104342757,0.8927207476531829,0.02500287692688168,-0.0690513099554336,0.07567452496914863
1.014,-0.08405465598992792,-0.047459108356370835,0.8925267584450808,0.031790434227557236,-0.07106139286941904,0.07453766901821002
1.0145,-0.08422101688562429,-0.04711414746341401,0.8921952634260103,0.03857147712050142,-0.07314553111135275,0.07337938773377588
1.015,-0.08442443232731511,-0.04679610045870856,0.89173577636713,0.04535525701218347,-0.0750010280356585,0.07222260612651218
1.0155,-0.08460445271187662,-0.04646422630861142,0.8913625841405892,0.05212911730924317,-0.07694888865694471,0.07103396326056988
1.016,-0.08477485823769694,-0.04614069419595736,0.8908607563448242,0.058935959353962654,-0.07892511317610859,0.06979750682094392
1.0165,-0.08496639013338592,-0.0458146253577295,0.89033279432577,0.06571361377407467,-0.08085997061780871,0.06859666819629122
1.017,-0.08512619237384952,-0.0454897019686189,0.88974889265094,0.072507646564759,-0.08274398193759891,0.06736194824694541
1.0175,-0.08530689077243607,-0.045159189947829276,0.8891964690207655,0.07927192101636611,-0.08453820663188796,0.06611848181098667
1.018,-0.08544902164878339,-0.04482140452043208,0.8884262121391632,0.0860424225897191,-0.08642152645906226,0.06481288878328119
1.0185,-0.0856334483478749,-0.04449210702442098,0.8876991541738022,0.0928032177345571,-0.08826006214325686,0.06351496447396189
1.019,-0.08582259230218187,-0.044160552405140385,0.8869354328398217,0.09956359477719924,-0.09007932948535208,0.06220713578175449
1.0195,-0.08596857446093038,-0.04382321539130177,0.8861374322701565,0.10633403339638249,-0.09180850736696883,0.06087336611698403
1.02,-0.08616812814950597,-0.0435037563889174,0.8852425847626259,0.11307412615263811,-0.09346875642830163,0.05960561545054841
1.0205,-0.08632799578501668,-0.04317401937601202,0.884302721160298,0.1198042816372535,-0.09517029257655465,0.05826570624600763
1.021,-0.08648789219695566,-0.04283335101461312,0.8832996487271306,0.12655385174179234,-0.09674443990819925,0.056925341898020995
1.0215,-0.08666417450636416,-0.04250851049061691,0.8822888112887742,0.1332924302708609,-0.09844853980706897,0.05552802004808538
1.022,-0.08680184936963209,-0.042170220633404795,0.8811308135944611,0.1400143727815056,-0.10004978465408385,0.05413339120107953
1.0225,-0.08697237127431177,-0.041832289980775955,0.8799995630467531,0.14671669890150763,-0.10153746994734066,0.052765498637899595
1.023,-0.08714909533221055,-0.04150807219924238,0.8788998962160943,0.15344065165481124,-0.10308301349165444,0.051346148923313226
1.0235,-0.08727422759664115,-0.04115213969885649,0.8775767536027741,0.16012241992145612,-0.10455367980040667,0.049905255025824914
1.024,-0.08741622558829917,-0.040811175297072844,0.8762566418279818,0.16680779402929607,-0.10593373899505301,0.04850955298677953
1.0245,-0.08756081580993522,-0.04047381487819446,0.8749580256122977,0.1734996972679261,-0.10735734006697942,0.047069437444670056
1.025,-0.08769757984376174,-0.04012528261445944,0.8735073371297348,0.1801623366604057,-0.10865140832825755,0.04562140979619852
1.0255,-0.0878513359950186,-0.03978860286201008,0.8720889146957871,0.18685129980294823,-0.11000559038347439,0.04413642931906958
1.026,-0.0879839742406516,-0.03944764408931266,0.8705185324039706,0.19347278561182005,-0.11120480598038694,0.042742617665006775
1.0265,-0.08812432933145539,-0.03909782045974795,0.8689679706354492,0.2000960430487582,-0.11254300791025909,0.04119844751167667
1.027,-0.0882804448044901,-0.03875763674981278,0.8673667121886501,0.206709636633105,-0.11378703678415465,0.03972679786594307
1.0275,-0.0884061146012377,-0.03841296550490862,0.8656598145223646,0.21332333188676084,-0.11489668879635609,0.038264604293051965
1.028,-0.08854480256268682,-0.03806329017263663,0.863979629713116,0.2199187709066014,-0.11596914994113884,0.036787031263513535
1.0285,-0.0886609487459828,-0.037718259922058434,0.8621952749413703,0.22652782432982593,-0.11712092306790241,0.03524399050070505
1.029,-0.08879283767173352,-0.03737294828286117,0.860347371280315,0.23308592843022313,-0.11814775239533956,0.03372646479586528
1.0295,-0.08892353980387599,-0.03701756196937123,0.8585139187629207,0.23965683412143612,-0.11912177951101914,0.032208318651185494
1.03,-0.08907450077113867,-0.03668968987885898,0.8565864674719699,0.24619877741221208,-0.11998845563654326,0.030826430182884217
1.0305,-0.08917689121040652,-0.03632896090488141,0.8546047964793867,0.2527137717380763,-0.1208675962011352,0.02930408847440092
1.031,-0.08930958308783361,-0.03598007077943442,0.8525512984401129,0.2592110514253762,-0.12168104790033787,0.027823430625297123
1.0315,-0.08941772112266917,-0.035620259394781875,0.8504875304114113,0.2657099055333595,-0.12252943388104222,0.026231276410864993
1.032,-0.08955946230613268,-0.03528206793219993,0.8484558778748016,0.2722234046010281,-0.1232927942315063,0.0247391988699093
1.0325,-0.08965444526456717,-0.03491225101892069,0.846250863139772,0.278681195605238,-0.1240633653361072,0.02311794446964424
1.033,-0.08977879723945473,-0.03456071962705347,0.8440229862867341,0.2851421721105964,-0.12473100602991721,0.02159946862701499
1.0335,-0.08986211218136989,-0.034200413469971644,0.8416984057394001,0.2915576032756396,-0.12532821770306188,0.020104648433646802
1.034,-0.08994851364423355,-0.03383968022086303,0.839369227216748,0.29795776891026404,-0.1257992662507837,0.018655790170609067
1.0345,-0.09006329579870925,-0.033480916659160614,0.8370358127967018,0.30436794654403226,-0.12632284785045686,0.01714088710608853
1.035,-0.09016965172588057,-0.03312211438620509,0.8346264583153613,0.3107489745673292,-0.12676870448444985,0.015661374534068812
1.0355,-0.09027051968107162,-0.032761598275552806,0.83214547646749,0.3171052554359068,-0.12719147377675236,0.014142339233624065
1.036,-0.09034849766765359,-0.03239664245750509,0.8296146280882307,0.3234489216051631,-0.12762294501140933,0.01253734563906712
1.0365,-0.09042910590226036,-0.03202178993628117,0.8269747084534562,0.32971440762439586,-0.1279348132571711,0.011090484641629029
1.037,-0.09052809323504739,-0.03166604657081547,0.8243993519014523,0.3360459906421143,-0.12821442090886132,0.009538219272593438
1.0375,-0.09059226055922533,-0.03129233419891152,0.821729132358388,0.3423073016366476,-0.12845520090704846,0.007990595255837191
1.038,-0.09074534907397387,-0.030941068676170247,0.8189830092035318,0.34855881690505147,-0.12865638602473806,0.006548467594501492
1.0385,-0.09085295695932788,-0.03058394494540151,0.8162966774262062,0.3548203196339319,-0.12874253146623685,0.005146660699436194
1.039,-0.09092130123441017,-0.030201329384833192,0.8134373930054468,0.36100984553699256,-0.1288345348406654,0.003607886150201127
1.0395,-0.09097958989413021,-0.029826119991123848,0.8105469208971455,0.367193658067953,-0.12888181350227318,0.0021015321987953098
1.04,-0.09105975610236385,-0.029462317501853907,0.807619278714331,0.3733582940785857,-0.12888758919170124,0.000608621103215504
1.0405,-0.09114382513411773,-0.02908632456052114,0.8046373820052338,0.3794896923159063,-0.1287982620087893,-0.0007838445039956236
1.041,-0.09122064417487435,-0.028718226866293897,0.8016732882216553,0.3856293231614993,-0.12867969117427003,-0.0022678111460643757
1.0415,-0.09128801877812819,-0.02833299978164401,0.7986295238646882,0.39173905589580144,-0.12851327791859282,-0.0037791862964827432
1.042,-0.09135696916862432,-0.027950737369173126,0.7955073214107558,0.3977927025408226,-0.12826526673464772,-0.005104993877738845
1.0425,-0.09140219180158773,-0.027568374709224408,0.7923458659179378,0.40384100831312403,-0.1279779558435573,-0.006525915244479834
1.043,-0.09150827374793359,-0.027203625309596052,0.7892243138888247,0.4099030594003592,-0.1277385920910594,-0.008021637109862189
1.0435,-0.0915684813234711,-0.026823814473497173,0.7860288678335499,0.4159145921451387,-0.1273485502159537,-0.009397290323644482
1.044,-0.09162895589410036,-0.026438343345559223,0.7827230339769128,0.42186618688695704,-0.12690843930986181,-0.010702624629590608
1.0445,-0.09170454471225153,-0.026062358507059596,0.7794147850682104,0.42782723797294253,-0.12649529955328784,-0.012157780492539664
1.045,-0.09175595924640252,-0.025671509806599296,0.7760506939711562,0.43375574026083547,-0.1259537044205519,-0.013477560705918039
1.0455,-0.09183111406901484,-0.025302422655428758,0.7726169501934725,0.4396519002204682,-0.12542923914310727,-0.014842990484662703
1.046,-0.09186509070553928,-0.024915168520985534,0.7691369644606921,0.44551450992983793,-0.12482754577633647,-0.016283883611733104
1.0465,-0.09191179085402623,-0.024528966033922198,0.7656320388748621,0.45137644616683653,-0.12417532087478274,-0.017623462827491432
1.047,-0.09195535580881228,-0.024145976292524157,0.7620521698190487,0.4571578545211846,-0.12348225903935753,-0.018965559547764146
1.0475,-0.09199838455344796,-0.023749705614125427,0.7584794676478824,0.462976333533967,-0.12270291195997375,-0.020286815233183843
1.048,-0.09207346667311514,-0.023356769334898025,0.7548811967184917,0.46876524300747835,-0.12192493876859642,-0.021577114567985875
1.0485,-0.09210232032322431,-0.022973240199170963,0.7511456440621298,0.47448585093948986,-0.12110329066108665,-0.022936171254648113
1.049,-0.0921594781724025,-0.022580211183966692,0.7473768559676037,0.48015422135457686,-0.12021598343821166,-0.024172985913857067
1.0495,-0.09219506041834918,-0.02218628806699953,0.7436134068140783,0.48583823355870465,-0.11928135359820402,-0.025495781787420728
1.05,-0.09222376900775692,-0.0217874397517972,0.7397316424342685,0.491443921735389,-0.1182897970584453,-0.026722178142556657
1.0505,-0.0922468967061518,-0.021396533913835156,0.7358603483622738,0.4970625563086599,-0.11727497558937156,-0.027924342501148638
1.051,-0.09227731747755386,-0.020998725354516065,0.7319601059104247,0.5026460743664635,-0.11621380839594983,-0.02915468637988648
1.0515,-0.09228875876821081,-0.020601300725642466,0.7279312816285485,0.5081390215209701,-0.11509085292961577,-0.030381460621748246
1.052,-0.09230939710825713,-0.020202840635087732,0.7239784427750727,0.5136991647986903,-0.11392598342137027,-0.031456729665642516
1.0525,-0.09230299367347528,-0.019800059785338164,0.7199529019877225,0.5191999944645467,-0.11270085758627868,-0.03272383399811757
1.053,-0.09231260343642281,-0.019391448538663494,0.7158279553316513,0.5246215769920126,-0.11146356134050324,-0.033821436209512876
1.0535,-0.09234681475555565,-0.018997164675033054,0.7117971347490724,0.5301177952366373,-0.1101840921651063,-0.03497017141828179
1.054,-0.09236573855219846,-0.01859542403626281,0.7076664584674405,0.5355250593751204,-0.10886370707737499,-0.03605408360040256
1.0545,-0.0923809723368372,-0.018189676113429643,0.7034000886993478,0.5408667841929855,-0.10747508223277571,-0.03715440032624033
1.055,-0.09237891542606916,-0.017783668530966648,0.6991392666702569,0.5461880074527415,-0.10602578422800066,-0.038360388353926196
1.0555,-0.09237916056265645,-0.01737803206033431,0.6947990322831875,0.5514520392706959,-0.10461120162297939,-0.03929133639988422
1.056,-0.09241021882381846,-0.01696497326003797,0.690512475124478,0.556760758959844,-0.10308485412025434,-0.040400880992192384
1.0565,-0.0924046100862726,-0.01656225873553717,0.6861435978051897,0.5619819969330431,-0.10154600300118749,-0.04148365465846736
1.057,-0.09245600074467997,-0.016157736738178413,0.6817748088881386,0.5672236910750457,-0.1000175797587666,-0.04243752815285458
1.0575,-0.09246936742748446,-0.01575181165454917,0.6772672922773211,0.572351111180527,-0.0984058368611441,-0.04345396508425413
1.058,-0.09247797497096535,-0.015332503408312992,0.6727813916453568,0.5774760542990094,-0.09680871302685555,-0.044270166277135106
1.0585,-0.09246496660154366,-0.014928656312433466,0.6682940670959776,0.582600148171788,-0.09505744334949462,-0.04532479726949958
1.059,-0.09246359048363967,-0.014511291232483542,0.6636953732858223,0.5876318459598981,-0.09334465499691827,-0.04621965769471893
1.0595,-0.09245042805064313,-0.014104173971410394,0.6590392946079293,0.592625754506953,-0.09160758428456298,-0.04709636899179759
1.06,-0.09243560896241623,-0.013679502502393012,0.6543985565918261,0.5976194883843213,-0.08978369261061253,-0.047999053425920105
1.0605,-0.09242249946031741,-0.013263803623655895,0.6496820193135626,0.6025428908406567,-0.08800325009551055,-0.04881022627744805
1.061,-0.09241263583345004,-0.012844386102737665,0.6449306023301266,0.6074633946802889,-0.086090585967077,-0.04975218131685426
1.0615,-0.09239099179750994,-0.01243047967427506,0.6401343518640242,0.6123103075142583,-0.08421634749346589,-0.05056637137178925
1.062,-0.09237597004546777,-0.012008782415524583,0.6353183665471008,0.6171483671116451,-0.08225778705359285,-0.05139977684545171
1.0625,-0.0923574352775555,-0.011593719805787273,0.6304873374608484,0.6219467112567775,-0.0803211927271058,-0.0521057070038914
1.063,-0.09231577550573912,-0.011177843961068079,0.6256288747284663,0.6267404782399882,-0.078311147006044,-0.05291953078586763
1.0635,-0.09227927507637229,-0.010750346227717325,0.620715525065494,0.6314753235829906,-0.07623930577664784,-0.05364838434856776
1.064,-0.09225051513538621,-0.01032972852735524,0.6157396475670518,0.6361320554123879,-0.07427121558349617,-0.0542413951088342
1.0645,-0.09220644653551618,-0.00990656507332461,0.610773563719779,0.6408286611025116,-0.07215135086234842,-0.05498042098833898
1.065,-0.09221286831687678,-0.009481225820078973,0.6057513975187964,0.6454632133547937,-0.0699959319738538,-0.055714843195816044
1.0655,-0.09218462282840306,-0.00906209306423219,0.6006456335763954,0.6500049332106417,-0.0678715502890853,-0.05634745229912609
1.066,-0.0921271626363619,-0.0086384062881366,0.5955102129467297,0.6544833967679752,-0.06570248628866866,-0.05698882413271162
1.0665,-0.09208504469050983,-0.00820687452042023,0.5904191950230552,0.6590148946169994,-0.0635120095940719,-0.057541927537832896
1.067,-0.0920743160496113,-0.007779533662029096,0.5852688843137394,0.6635123079178412,-0.061333766066802686,-0.058069695358627896
1.0675,-0.09201581801612091,-0.0073515318350628606,0.5799887213308244,0.6678696109061943,-0.05909691340006962,-0.058600570961582096
1.068,-0.09198635401141171,-0.00693614568596039,0.5747567873703123,0.6722372500589903,-0.05686579633393203,-0.05913837379867339
1.0685,-0.09192892570780464,-0.00649832185743511,0.5694798926691164,0.6765905157654015,-0.054537453112195475,-0.05965835812364538
1.069,-0.09188127056273783,-0.006069083291665826,0.5641802011995539,0.6808974702271035,-0.05226257783413319,-0.06011815591040614
1.0695,-0.09186247052015513,-0.005646029322492752,0.5588336676210441,0.6851601768602692,-0.04990533244339308,-0.06058282216712029
1.07,-0.09180249462671766,-0.005208763116272552,0.5535031260915637,0.6894063923320144,-0.047562978630948,-0.060997568350894635
1.0705,-0.0917241817394035,-0.004777414258755094,0.5480748374282927,0.6935706165742768,-0.04526207061630486,-0.06134170536330989
1.071,-0.09165278761813109,-0.0043489717996807176,0.5425989160345516,0.6976831248826892,-0.04285924436018902,-0.06171386350782345
1.0715,-0.09160621198913588,-0.003918653276112127,0.5371111709975681,0.7017353023241178,-0.040526641957364905,-0.06203260555400497
1.072,-0.09153657003973917,-0.003492141774105506,0.5316249198305042,0.7058392452311876,-0.03806785166472027,-0.0623879958623333
1.0725,-0.09147739490795954,-0.003055113846636058,0.5260080601995426,0.7097505512815355,-0.03567150432274909,-0.06264924105642863
1.073,-0.09143448444908608,-0.0026108748328704037,0.52046360462005,0.7137494250388059,-0.033211529006883185,-0.06294076830538431
1.0735,-0.09138534417143784,-0.002177196412786797,0.5148709762384983,0.7177021729018092,-0.030807611805933485,-0.0631578981167822
1.074,-0.09131503080793017,-0.0017434428150819511,0.5092576950652191,0.721589707327772,-0.02833634912588883,-0.06337408535599613
1.0745,-0.09124160330631957,-0.0012962197459378474,0.5035724094291522,0.7253856236303603,-0.025902375127560492,-0.06354251595662191
1.075,-0.0911757530599214,-0.0008714729379384126,0.49784900734834925,0.7291517484502107,-0.023513698401075436,-0.06367469103358009
1.0755,-0.09110593123172407,-0.0004327939086189586,0.4921224804288631,0.7328825269498351,-0.021084111830029204,-0.06378796804442088
1.076,-0.09104217512230392,2.041624540857767e-06,0.4863687791675941,0.7365980911805973,-0.01850972151048785,-0.06396341302996374
1.0765,-0.09097217124291565,0.00043806352178615837,0.480573349692887,0.7402492757132496,-0.015986927119995727,-0.0640639932464559
1.077,-0.0908953590176501,0.0008845842193566517,0.4747543144599839,0.7438339933146678,-0.01351609050923096,-0.06410798875125259
1.0775,-0.09081083450429979,0.0013224175064750904,0.4689341890825577,0.7474461218291797,-0.010943182751356466,-0.06418328183279019
1.078,-0.09072732744229559,0.0017637551779678892,0.46303979024775593,0.750940830033793,-0.008433837284094168,-0.06420058927654446
1.0785,-0.09065520980489405,0.0021969414145137298,0.457180671973095,0.7544596974582428,-0.005867029899398763,-0.06421271548309498
1.079,-0.09059321768867344,0.0026416139014901613,0.45128805172851316,0.7579519801251293,-0.003469489652964043,-0.06416532655576096
1.0795,-0.09046541317538767,0.0030780277794506816,0.44527553314544077,0.7612475421799945,-0.0009024206548849979,-0.06407857057818352
1.08,-0.09039553611470116,0.0035223740167952683,0.4393355326796908,0.7646412052480261,0.0015926506108683881,-0.06401668477192914
1.0805,-0.09031779914345987,0.003962676601870482,0.4333636331668778,0.7679715736010866,0.00407288897053348,-0.06390931226634328
